,0
1604,4.25
1605,24.75
1606,34.25
1607,0.0
1608,40.0
1609,40.5
1610,31.25
1611,5.5
1612,47.0
1613,7.5
1614,11.25
1615,7.75
1616,14.5
1617,2.25
1618,0.0
1619,31.5
1620,28.75
1621,18.5
1622,19.5
1623,36.0
1624,46.25
1625,27.25
1626,76.25
1627,31.5
1628,52.25
1629,25.0
1630,7.0
1631,32.75
1632,17.75
1633,41.5
1634,24.5
1635,18.25
1636,78.5
1637,21.25
1638,18.25
1639,36.75
1640,17.75
1641,27.75
1642,32.0
1643,0.0
1644,34.0
1645,4.75
1646,11.0
1647,11.5
1648,11.5
1649,17.5
1650,6.75
1651,33.25
1652,23.0
1653,4.5
1654,43.0
1655,50.25
1656,36.25
1657,17.75
1658,31.0
1659,37.75
1660,8.0
1661,44.0
1662,3.5
1663,46.5
1664,21.5
1665,1.75
1666,3.75
1667,38.25
1668,20.0
1669,44.75
1670,2.75
1671,20.25
1672,37.5
1673,38.0
1674,4.5
1675,15.25
1676,13.5
1677,0.0
1678,24.0
1679,19.0
1680,29.25
1681,57.0
1682,26.75
1683,22.25
1684,10.25
1685,45.0
1686,13.25
1687,10.75
1688,5.0
1689,34.5
1690,26.25
1691,16.75
1692,6.75
1693,1.25
1694,9.5
1695,15.25
1696,9.5
1697,60.0
1698,9.5
1699,30.5
1700,1.5
1701,1.25
1702,15.5
1703,53.0
1704,10.25
1705,20.5
1706,5.5
1707,24.5
1708,23.75
1709,1.5
1710,48.0
1711,41.5
1712,39.75
1713,16.75
1714,38.0
1715,4.0
1716,27.0
1717,42.0
1718,14.0
1719,28.5
1720,32.5
1721,1.0
1722,28.75
1723,0.0
1724,33.5
1725,8.0
1726,12.0
1727,8.75
1728,0.0
1729,28.25
1730,19.25
1731,9.5
1732,4.0
1733,3.0
1734,22.5
1735,11.25
1736,27.5
1737,11.25
1738,1.0
1739,8.0
1740,23.0
1741,21.0
1742,5.0
1743,12.0
1744,38.0
1745,11.0
1746,16.75
1747,36.0
1748,10.0
1749,16.5
1750,28.0
1751,17.0
1752,36.25
1753,5.0
1754,21.0
1755,11.5
1756,12.25
1757,10.75
1758,15.5
1759,22.5
1760,29.0
1761,26.0
1762,12.75
1763,3.5
1764,15.25
1765,38.5
1766,26.75
1767,35.75
1768,4.25
1769,28.5
1770,35.0
1771,45.25
1772,14.75
1773,11.75
1774,20.5
1775,19.5
1776,14.75
1777,29.0
1778,10.25
1779,7.5
1780,16.0
1781,22.0
1782,5.75
1783,37.0
1784,39.5
1785,2.0
1786,15.0
1787,41.0
1788,2.0
1789,0.0
1790,15.0
1791,11.25
1792,5.75
1793,27.5
1794,30.5
1795,0.0
1796,14.25
1797,56.0
1798,27.25
1799,49.75
1800,12.75
1801,24.5
1802,49.25
1803,25.25
1804,14.75
1805,25.0
1806,16.25
1807,38.75
1808,11.5
1809,54.75
1810,40.75
1811,0.0
1812,5.0
1813,8.75
1814,24.75
1815,26.5
1816,24.5
1817,10.75
1818,20.25
1819,27.0
1820,42.75
1821,26.5
1822,0.0
1823,17.0
1824,0.0
1825,9.5
1826,59.25
1827,41.75
1828,23.5
1829,6.5
1830,15.75
1831,17.0
1832,18.75
1833,9.0
1834,44.5
1835,22.0
1836,1.25
1837,25.75
1838,29.5
1839,11.25
1840,34.75
1841,22.75
1842,11.5
1843,9.5
1844,13.5
1845,20.5
1846,22.25
1847,29.75
1848,21.25
1849,33.25
1850,19.25
1851,8.75
1852,29.0
1853,13.0
1854,21.25
1855,11.75
1856,5.25
